Question;Difficulty of the question;Thematic Group of the question;Answer of OpenBioLLM-70B;Evaluation (questioner reviewer);Evaluation (second reviewer)
Is hypofractionated radiotherapy in local recurrence after primary prostatectomy equal to normofractionated therapy?;2,33;Prostate;Yes, hypofractionated radiotherapy has been shown to be equal to normofractionated therapy in terms of efficacy for local recurrence after primary prostatectomy.;4;4
What would be an absolute cardiological contraindication against an ADT for prostate cancer?;2,33;Prostate;Severe cardiac disease would be an absolute cardiological contraindication against androgen deprivation therapy (ADT) for prostate cancer.;3;2
What is the role of ADT in the salvage irradiation after radical prostatectomy?;3;Prostate;The role of ADT in salvage irradiation after radical prostatectomy is to lower the PSA level and improve treatment outcomes.;4;3
Is there a benefit from clinical hyperthermia combined with radiotherapy in bulky prostate cancer?;2,67;Prostate;Yes, there is a benefit from clinical hyperthermia combined with radiotherapy in bulky prostate cancer.;3;3
Should we add ADT to the Salvage brachytherapy for the treatment of local recurrent prostate cancer?;3,67;Prostate;Yes, adding ADT to salvage brachytherapy improves outcomes in patients with local recurrent prostate cancer.;1;2
Do you always perform a Biopsy to confirm the local recurrence of prostate cancer in case you have PSA-Elevation with positive PSMA-PET-CT and local lesion in the mpMRI prostate?;2,33;Prostate;No, a biopsy is not always performed to confirm local recurrence of prostate cancer in cases of PSA elevation with positive PSMA-PET-CT and a local lesion on mpMRI of the prostate. The decision for biopsy may depend on various factors such as the patient's overall health, previous treatment history, and the presence of symptoms. The final decision should be made in consultation with a multidisciplinary team.;4;5
"In case treating the local recurrent prostate cancer with SBRT: How many fractions are you doing?
1) Single Fraction
2) 2 Fractions
3) 3 Fractions
4) 4 Fractions
5) 5 Fractions
6) 6 Fractions
7) 7 Fractions
8) other protocol? What is the single dose and the whole dose?";2,67;Prostate;In the case of treating local recurrent prostate cancer with SBRT, the standard practice is to deliver a total of 5 fractions.;4;2
"In case you are treating local recurrent prostate cancer with brachytherapy, what brachytherapy protocol are you doing? What is the single dose and the whole doses?
1) single fraction
2) 2 fractions
3) 3 fractions
4) 4 fractions
5) 5 fractions";2,67;Prostate;In case of local recurrent prostate cancer, the brachytherapy protocol used is high-dose rate (HDR) brachytherapy. The single dose is typically 13 Gy and the whole doses can range from 26-36 Gy in 2-3 fractions.;1;3
Are you combining ADT with your Re-irradiation for locally recurrent prostate cancer? If yes, for how long?;2,67;Prostate;Yes, I am combining ADT with Re-irradiation for locally recurrent prostate cancer. The duration of ADT can vary depending on the patient's specific case and response to treatment. It is typically recommended to continue ADT for at least 2 years, but the optimal duration should be determined by the treating physician based on individual patient factors.;3;4
Given a patient for which a salvage radiotherapy of locally recurrent prostate carcinoma is planned after initital definitive radiotherapy with an EQD2 of 80 Gy two years ago. Which dose constraint do apply for the rectum and bladder organs-at-risk?;3,33;Prostate;For the rectum, the dose constraint is 50 Gy. For the bladder, the dose constraint is 60 Gy.;1;2
For a patient with a prostate cancer Gleason 7a, PSA 8 ng/ml and a cancer limited to the prostate on MRI we found a PSMA-negative but morphologically suspect (1cm) lymph node. Biopsy or other imaging is not an option, how should we treat this patient with radiotherapy and hormonal therapy?;2,67;Prostate;For a patient with prostate cancer Gleason 7a, PSA 8 ng/ml, and a PSMA-negative but morphologically suspect lymph node, the recommended treatment would be radiotherapy to the prostate and pelvic lymph nodes along with hormonal therapy. This approach is based on the assumption that the lymph node may be involved despite being PSMA-negative, and treating it with radiotherapy can help reduce the risk of recurrence. Hormonal therapy is added to decrease the testosterone levels, which can help in shrinking the tumor and improving treatment outcomes.;3;2
What ist the α/β ratio for endometrial cancer?;2,67;Gynecological;The α/β ratio for endometrial cancer is 10.;2;2
When contouring for EBRT in gynecological tumors, is the conventionally used CTV-margin around pelvic vessels  (of about 7mm) cropped from bowel loops in larger gynecological trials or current guidelines?;2,33;Gynecological;Yes, the conventionally used CTV-margin around pelvic vessels (of about 7mm) is cropped from bowel loops in larger gynecological trials or current guidelines.;5;5
The SOUND trial (PMID 37733364) permits omission of axillary sentinel lymph node biopsy in early stage breast cancer if it has no consequence on further treatment. How should this be registered in the TNM stage? pNx or cN0?;2,33;Gynecological;According to the SOUND trial, if axillary sentinel lymph node biopsy is omitted in early stage breast cancer and it has no consequence on further treatment, the correct registration in the TNM stage would be cN0.;3;4
In this question, I want to know which regions to irradiate in breast cancer. I have a 59 year old patient suffering from left sided breast cancer. Initial staging was cT1c(m2) cN1 cM0 with 2 positive axillary lymph nodes on MRI, with confirmation by biopsy. Initial treatment was 4 cycles of AC, followed by 12x paclitaxel weekly. She then received tumorectomy with sentinel lymph node exision, which showed residual tumor in both foci as well as one of two sentinel lymph nodes (ypT1c(M:2) ypN1(1/2 sn)). What should be the dose and fractionation of adjuvant whole breast radiotherapy, and which regions of the lymphatic drainage should be included?;2,67;Gynecological;The recommended dose and fractionation for adjuvant whole breast radiotherapy is 40 Gy in 15 fractions or 50 Gy in 25 fractions. The regions of lymphatic drainage that should be included are the axilla, internal mammary lymph nodes, and supraclavicular lymph nodes.;3;4
How do you mark off the borders of the breast at the time of the planning CT when preparing an adjuvant breast radiation treatment?;2,00;Gynecological;The borders of the breast are typically marked off at the time of the planning CT by the radiation oncologist using anatomical landmarks such as the sternal notch, midline, and lateral border of the pectoralis major muscle.;4;4
What are the most common acute side effects of adjuvant breast radiotherapy and how do they evolve over the course of treatment and immediately afterwards?;1,67;Gynecological;The most common acute side effects of adjuvant breast radiotherapy include skin reactions such as erythema, desquamation, and fatigue. These side effects typically start to appear around the third week of treatment, peak at the end of treatment, and resolve within 4-6 weeks after treatment completion.;4;4
What is the median overall survival of patients suffering from brainstem metastases? Do we achieve superior overall survival if stereotactic radiotherapy is applied as treatment for brainstem metastases in comparison to no radiotherapy?;2,67;Palliative;The median overall survival for patients with brainstem metastases is typically 4-6 months. Stereotactic radiotherapy has been shown to improve overall survival compared to no radiotherapy in the treatment of brainstem metastases.;3;3
What are the recommended prescribed doses for the Planning Target Volume (PTV) in Stereotactic Body Radiation Therapy (SBRT) treatments across various metastatic diseases, such as those affecting the lung, liver, and other organs, specifically addressing whether the optimal dosage falls within the range of 80% or 60%?;2,67;Palliative;The recommended prescribed doses for the Planning Target Volume (PTV) in Stereotactic Body Radiation Therapy (SBRT) treatments vary depending on the organ being treated. For lung SBRT, the optimal dosage is typically within the range of 60% to 80%. For liver SBRT, the optimal dosage is usually within the range of 80%. For other organs, the optimal dosage can vary and should be determined based on specific clinical guidelines and patient factors.;3;4
What is the recommended management for a patient which is treated with cortisone for a brain edema after radiotherapy and the symptoms worsen as soon as the cortisone dose is reduced?;3,00;Palliative;The recommended management for this patient is to increase the dose of cortisone and then taper it off more slowly to prevent withdrawal symptoms and worsening of the brain edema.;4;4
